,x,y,emoji
0,-15.91419889642253,9.574204064690711,#️⃣
1,4.981299728772798,7.635596761984153,*⃣
2,-12.38131596377645,13.63866474213133,0️⃣
3,-13.22961764141026,11.856236114209349,1⃣️
4,-14.747143564028061,11.725029447080422,1️⃣
5,-10.673337120331649,-6.509196287300318,2⃣️
6,-12.779165460562753,12.26688088227617,2️⃣
7,-14.729682531007901,11.598075656860088,3⃣️
8,-13.274746065579755,6.974051537624469,3️⃣
9,-14.892246898389645,11.626561462419595,4⃣️
10,-12.820772711368388,14.094759964087748,4️⃣
11,-9.714681918823965,-11.581683330061491,5⃣️
12,-13.637300614073043,2.305190388734191,5️⃣
13,-8.7750142966783,15.228292562554469,6⃣️
14,-12.612245594768664,12.887242924249286,6️⃣
15,-14.920913716378973,11.840520152781044,7⃣️
16,-13.974629525963557,11.45685982824175,7️⃣
17,12.38030807298678,5.051757430441456,8️⃣
18,2.6281684491625956,-2.265845262408953,9⃣️
19,-12.411208314142414,12.145156913907568,9️⃣
20,-13.264660630525116,2.2779331469781483,©️
21,4.294394531375221,5.705901926992385,®️
22,-7.002834861120364,9.40627859167747,‍
23,-10.386517904998964,-16.71885459158916,‼️
24,-14.070641387587454,-12.312023250633834,⁉️
25,-15.792671579759803,3.884176233330698,™️
26,-4.258510807264366,15.86333083951976,ℹ️
27,-16.455370622213824,-5.442991914417734,↔️
28,-6.045913307832213,-4.405702219246634,↕️
29,-11.235911528354759,12.226250233396426,↖️
30,-15.334525044048114,2.4620318970073694,↗️
31,-12.17363450984339,12.477762703019643,↘️
32,-12.150615446365649,12.311581433096634,↙️
33,-8.122537349109436,-12.66665548677013,↩️
34,-15.366059953451341,-7.961716427168316,↪️
35,-8.325304995368072,10.028769429788417,⌚
36,-9.392632052865055,11.61725233614019,⌚️
37,0.6787547931898025,-11.3169668677585,⌛
38,2.972681484849327,6.703585017855332,⌛️
39,12.476094091542835,6.188527075805371,⌨
40,-15.7097191964939,3.7363972494214046,⏏
41,-11.788479432928904,8.508106867771849,⏩
42,-7.176983211734579,3.1957948926217568,⏪
43,0.9043380032274639,10.61708982662259,⏰
44,-10.250918902294387,-9.856299157289587,⏱
45,-6.721369298272545,13.81655832060147,⏲
46,-10.631504225117917,3.3618185759160273,⏳
47,-8.995691866852438,11.579057503766524,⏸
48,1.7157252443594158,-3.177463473648458,⏹
49,-18.76289958392336,-7.333716823811719,⏺
50,-13.113445975888263,5.705036209626389,Ⓜ️
51,-15.551620419332943,-10.906349847520577,▪️
52,-11.401254502706195,-9.586137973381492,▫️
53,-10.162065435353714,12.922620599219064,▶️
54,-12.279424881126296,11.783964970374614,◀️
55,-18.820135539814896,-6.710868943309985,◻️
56,-18.170899102731862,-12.197288961167398,◼️
57,-15.962915326176764,-11.354575615990086,◽
58,-15.923035410252744,-6.256971634940288,◽️
59,-17.92054286650652,-11.95975374804607,◾
60,-12.150645632346967,-10.106655522458906,◾️
61,-0.7174026205124455,-5.291127499481257,☀️
62,-6.054715064978203,-2.428356778964445,☁️
63,-5.140325387444514,-8.746889608417398,☂
64,7.372952641586099,6.40765477372572,☃
65,-4.906754050724313,8.895417948955178,☄
66,-14.744453746303995,12.920461721660038,☎️
67,-8.663107883272309,15.148923771578934,☑️
68,-0.5953605523080537,-7.070548441298739,☔
69,-14.630683579387076,-4.600405406842976,☔️
70,13.604021648385597,1.7493286583937184,☕
71,-7.4674069955405935,7.7244749917698305,☕️
72,7.748728935921396,6.316487570874672,☘
73,-13.394917822231463,-14.376331449082404,☝️
74,-4.98081385313688,-9.594315172260021,☠
75,10.993481791735604,8.427676768666418,☢
76,8.918009124079399,10.316686665404122,☣
77,-13.22159239193231,12.638630155729947,☦
78,-3.059409817193431,7.94283832513118,☪
79,4.6746651117699365,-1.1910498736939894,☮
80,5.966820826206669,3.9596776838596246,☯
81,3.483712870106148,-11.249736471699412,☸
82,2.1840239885295967,-15.388442302389405,☹
83,-0.618247125567782,-15.681635369211323,☺️
84,7.383258099075587,9.556074438735564,♈
85,9.247096440578948,8.706506050031194,♈️
86,11.382426482152797,8.205602962960898,♉
87,10.170911658137658,10.184593836285433,♉️
88,11.013908604345076,10.237060235697076,♊
89,10.796851889507089,10.211643692505046,♊️
90,10.096683942215622,7.873982742095986,♋
91,10.336874677062738,9.297883006537061,♋️
92,10.853833222851735,10.124087955413202,♌
93,11.260286907981538,10.18313392155029,♌️
94,10.316689122378152,10.288461986250187,♍
95,9.297826439220884,10.891124274979475,♍️
96,9.484589375742217,10.64341829349224,♎
97,9.280347779904854,11.105720430850361,♎️
98,10.476326451706129,9.913033315940298,♏
99,10.697680656996791,9.97703687318262,♏️
100,9.629840249750872,10.643027850017107,♐
101,9.41716847901948,10.658393573092576,♐️
102,8.824986980776343,10.183315417329393,♑
103,9.30917177209255,10.830068690841708,♑️
104,9.816814980263942,10.392953773581345,♒
105,10.674937440399022,10.103180238342913,♒️
106,10.890366026232808,9.852524053730109,♓
107,10.312079179216479,8.911516834384216,♓️
