x,y,index,circle
0.3462312495574256,0.29464411906589866,1,circle15
0.7546521534536059,0.9031464712829926,2,circle10
0.2489242083808421,0.5357311209796976,3,circle15
0.2862548102761658,0.03387849661737338,4,None
0.3858943537769982,0.2640403123623,5,circle16
0.8759619586010459,0.1747420562577386,6,circle15
0.5273858529278159,0.39812427523726984,7,circle15
0.7193079912208751,0.05998793557378446,8,None
0.343527501589265,0.4889243107000379,9,circle16
0.3785116301788025,0.37716054428683643,10,circle15
0.42196784247328606,0.5590419002695971,13,circle11
0.7309831938148964,0.8938265739706063,14,circle10
0.39747426630770183,0.6435033180053608,16,circle15
0.7724820513212469,0.8362757651434382,17,circle19
0.8464566766826852,0.624821127559961,19,None
0.7691170308048924,0.8846837805652074,20,circle19
0.3322074709317956,0.4514543594039226,21,circle15
0.5331624314911364,0.3614670407388297,22,circle15
0.7612302769573882,0.5841809927069698,23,circle15
0.418964212621371,0.11808314421900483,24,circle16
0.41303004499036017,0.44388746267742646,25,circle15
0.3726146610129215,0.5118524123217272,26,circle15
0.23172639911287032,0.32686869892958254,27,None
0.7179131306308187,0.9109003694914789,28,circle23
0.4932395984428853,0.6400371081250465,29,circle0
0.36197099624500556,0.3933310575705394,30,None
0.5068609692007058,0.4592421572020061,31,circle15
0.5464437281485022,0.9736773868374481,32,circle6
0.976186806528328,0.6349502009217107,33,circle19
0.37181807267797923,0.0032766602859083892,34,circle16
0.9854305567354226,0.5558709778696436,35,circle6
0.1322977440640587,0.2474649527629982,36,circle16
0.4776196487938295,0.5330093378584405,38,circle15
0.28559054803813183,0.5008701966617404,39,circle15
0.42066207775139297,0.49465371266375197,40,circle15
0.7279893241081805,0.8370270639038601,41,circle19
0.95363954271464,0.6915496071266286,42,circle10
0.6978649915315035,0.931090077064285,44,circle19
0.25910519491663186,0.47629107648301716,45,circle15
0.9221024688841588,0.7387214408639695,46,circle7
0.9534704617610934,0.28401644801933146,47,circle15
0.3789855105919936,0.3147345307353087,48,circle16
0.7925781991813007,0.8915634845988827,49,circle15
0.5258292280198563,0.48418254982679504,50,circle15
0.6570806109949354,0.4833364320162578,51,circle3
0.9799398583538994,0.625279237331709,52,circle17
0.4157541127614675,0.26883960460026735,53,None
0.3046187705690486,0.3177950218653487,54,circle11
0.3496807337486209,0.5848145331477057,55,circle15
0.3854471207168209,0.5202986406993984,56,circle15
0.3362625579490046,0.23829284193510122,57,circle16
0.048463506105569834,0.6737121066267749,58,circle16
0.4065724576565726,0.628596994180346,59,circle4
0.5204876241423742,0.5052327053331379,60,circle15
0.8451804241565024,0.32713506178843577,61,circle0
0.35988339009102077,0.4578769155290249,62,circle15
0.3966888279192297,0.6938075779246382,63,circle15
0.08426358584278626,0.5144766272763801,64,circle15
0.5256355695672327,0.5294321385669157,65,circle15
0.3953991296543274,0.5896408466922922,66,circle11
0.37972129137197513,0.4867114680486381,67,circle15
0.9428986797762231,0.686670394634208,68,circle13
0.24966541191355357,0.44754717085096,69,circle15
0.980333422553315,0.44548076934339453,70,circle11
0.9858643766401936,0.5074496691414943,71,circle0
0.3279743853846823,0.532896823801961,72,circle15
0.4391453744980247,0.2882955482671383,73,circle9
0.2585515658113963,0.507982552079408,75,None
0.6101976987247655,0.2290255894279867,76,circle11
0.34532030181207324,0.7070555006040183,77,circle15
0.3512419746554157,0.0060450076607966785,78,None
0.2833993312793976,0.5232566926276075,79,circle15
0.36289149446169217,0.19761843378101177,80,circle16
0.012760727430980192,0.5993087333483834,81,circle0
0.43834232295476305,0.5802307115432218,82,circle15
0.6549048053548742,0.5050742229449073,83,circle3
0.5459389771346247,0.4751709956882926,84,circle4
0.22952991868123052,0.49927026366530325,85,circle16
0.937230556645661,0.7111313847433229,86,circle13
0.4788469986830789,0.3340879724809435,87,circle15
0.35844101118214716,0.3422100105578479,88,None
0.9027536897796365,0.30064918388892853,89,circle15
0.9783596307961953,0.3407143387943412,90,circle17
0.7336171792645315,0.06579583166134528,91,None
0.38428599370680644,0.14973701089139924,92,circle16
0.6070944276741465,0.961540175731794,93,circle19
0.3898109690297578,0.1974383333672636,94,circle16
0.8880964669067326,0.18834933002296922,95,circle15
0.48178605628528104,0.4006467720904519,96,circle15
0.9617684149616877,0.38849561297204277,97,circle11
0.40221353501267565,0.5151740623602423,98,circle15
0.928586707798318,0.6424120919681421,99,circle2
0.13569897502613437,0.45605376147431004,100,None
0.4498086978601929,0.14212169097709715,101,circle16
0.921489340015995,0.7154083417751549,102,None
0.4765695847733142,0.4735650835878373,103,circle15
0.3450097006068889,0.5433418485582759,104,circle15
0.3210765155131092,0.3899793667907369,105,circle17
0.4929793714339969,0.4981160375620822,106,None
0.06894293669587931,0.7301713305403414,107,None
0.20228193763951974,0.279787167895713,108,circle15
0.42275647710890435,0.4935351788652953,109,circle15
0.7111838525275471,0.036946090706152526,110,circle0
0.7038043380899326,0.9055205308947787,111,circle6
0.9432854105551257,0.4704565222890456,112,None
0.4043493686399746,0.5309620598110284,113,circle11
0.7942485614632855,0.8284673411326761,115,circle19
0.7677725695186962,0.8224809069927157,116,circle2
0.3252057913613007,0.6685958454916456,117,circle15
0.4200880129297635,0.5814046685867889,118,circle11
0.32173222007354046,0.4726727239408485,119,circle15
0.6079046970954136,0.5888187266441115,120,None
0.26204976574759237,0.5589606039071244,121,circle15
0.3381592939673191,0.4607947681401084,122,circle15
0.36533696204810634,0.6007699234866902,123,circle15
0.5209970310264874,0.7415414373929426,124,circle15
0.19759108095334688,0.4070800594227385,125,circle15
0.3898367300332832,0.32115043276880667,126,circle17
0.18985883502766973,0.28650653558973166,127,circle16
0.35462906796051147,0.5287135323057888,128,circle15
0.6166647013413558,0.35867799837114905,129,circle15
0.3823968578488155,0.2926160805472478,130,None
0.9748217876151197,0.5973558185743209,131,circle13
0.438791817367228,0.42642067959598157,132,circle0
0.292904927316936,0.4127312740542006,133,circle15
0.46206498704877297,0.549262633787249,134,circle11
0.13482630763947256,0.2628842129762132,135,circle16
0.43061784420406707,0.40321617148153893,136,circle15
0.6821865635942534,0.8972628401921026,137,circle19
0.9190677198900399,0.4667038543676213,138,circle13
0.11628327465159707,0.29890649460142854,139,circle16
0.7799080988204948,0.8667441846462167,140,circle2
0.34938539873506136,0.4691951627368798,141,circle15
0.38573250649055113,0.4916163674609163,142,circle15
0.951556579265078,0.6602449283133651,143,circle13
0.7504166799118239,0.8299023244490518,144,circle2
0.9302556164142801,0.23153231324130605,145,circle17
0.4910927807615955,0.35886945530084796,146,circle15
0.8640468181144997,0.16304024211513754,147,circle2
0.44818679808258277,0.46393674602056884,148,circle15
0.7362374200402666,0.9120952487104015,149,circle23
0.1749322887128082,0.46141720955535326,150,circle2
0.6820151201528607,0.9382210120906531,151,circle11
0.35503029496826843,0.0841876003019931,152,circle15
0.0839495250485375,0.6303022242219772,153,None
0.6838345860589259,0.0565491543718401,154,circle9
0.5312356220631618,0.7798770943156194,155,circle2
0.26405543167899226,0.3917884751482729,156,circle4
0.3215464772969035,0.7986961742244996,157,circle15
0.46286725765609815,0.4162991529996404,158,circle11
0.22996559783458573,0.37074132001568394,159,None
0.23604888045603192,0.8271469450000803,160,None
0.4254460225145514,0.45935369513703783,161,circle11
0.7220691577394367,0.9269117498548455,162,circle23
0.17951980387999975,0.29909220054764435,163,circle0
0.254992467648062,0.22945189307525096,164,circle9
0.29772947907448993,0.6022314268841691,165,circle11
0.15625258609586237,0.1260654628626207,166,None
0.5666739492921056,0.9719191931470609,167,None
0.5662876982075881,0.381911701154795,168,circle15
0.36726430908331664,0.47113658625691524,169,circle15
0.3588058004953097,0.5522748341682788,170,circle15
0.08846388565891403,0.5808552415240117,171,circle15
0.39477732997302173,0.5552839178554586,172,circle17
0.22273426635076812,0.11173341531990548,173,circle16
0.9446613305620567,0.4960487733127337,174,circle20
0.8345775714157767,0.6498439436305324,175,circle14
0.28773068559241605,0.557556705300581,176,circle15
0.9510222795214606,0.6727950660395919,177,circle18
0.27974946123265,0.482462268771542,178,None
0.9520505893366911,0.27220370297337,179,circle17
0.41542484105973554,0.15250661355952505,180,circle16
0.2631093806390039,0.042628357054860976,181,None
0.9352518077435436,0.29390161213144295,182,None
0.04589778157858947,0.36289695793397625,183,circle15
0.21409660796763816,0.2917806121915766,184,None
0.36444635657924024,0.4840093616332867,185,circle15
0.3589061278942452,0.5083679547132434,186,circle15
0.40243240466330626,0.11183773868178717,187,circle16
0.3318803101892535,0.5022064440165636,188,circle15
0.0812748202627534,0.4919493702360156,189,circle15
0.7240234402430092,0.42899094501706136,190,circle15
0.49995223890376644,0.09518551056264155,191,None
0.9043515032780175,0.769830030091445,192,circle6
0.7652187702806612,0.1312995410253476,193,circle0
0.3846707541596565,0.13661012626906707,194,circle16
0.2950027901429243,0.0276060668143474,195,None
0.42620922582193704,0.21886438912475722,196,circle15
0.17057301318705131,0.32769241333691657,197,circle16
